"S. No.","Title","Page Title","Discription","Content Category","Public Documents","Upload File","Region","Airport","Published status","Document Date","Document Number","Signing Authority","E-mail","Created Date"
"1","List of Selected Players under AAI Sports Contract & Scholarship Scheme 2025-26.","List of Selected Players under AAI Sports Contract & Scholarship Scheme 2025-26.","","Sports Control Board","Public Documents","files/scb/Selected Players 25-26.pdf","All","","Yes","08/07/25 to 08/07/26","","Manager, SPB","","08/07/25"
"2","AAI - SPORTS CONTRACT SCHEME 2025 - 26","AAI - SPORTS CONTRACT SCHEME 2025 - 26","","Sports Control Board","Public Documents","files/scb/Advertisement 25-26 Contract _250324_181518.pdf","All","","Yes","25/03/25 to 25/03/26","","GM(HR)","","25/03/25"
"3","SPORTS SCHOLARSHIP SCHEME FOR OUTSTANDING SPORTSPERSONS FOR THE YEAR 2025-26","SPORTS SCHOLARSHIP SCHEME FOR OUTSTANDING SPORTSPERSONS FOR THE YEAR 2025-26","","Sports Control Board","Public Documents","files/scb/Advertisement 25-26 Scholarship_250324_181350 (1).pdf","All","","Yes","25/03/25 to 25/03/26","","GM(HR)","","25/03/25"
"4","AAI All India Inter Zonal Cricket Tournament (Men) from 05.01.2025 to 11.01.2025 at Guwahati - reg","AAI All India Inter Zonal Cricket Tournament (Men) from 05.01.2025 to 11.01.2025 at Guwahati - reg","","Sports Control Board","Public Documents","files/scb/Cricket Nomination Circular.pdf","CHQ","","Yes","25/11/24 to 25/11/25","","Sports Promotion Board, CHQ","","25/11/24"
"5","Conduct of AAI All India Inter-Zonal Cricket Tournament 20245-25 in Guwahati, Assam hosted by RSCB-NER - Reg. Intimation","Conduct of AAI All India Inter-Zonal Cricket Tournament 20245-25 in Guwahati, Assam hosted by RSCB-NER - Reg. Intimation","","Sports Control Board","Public Documents","files/scb/AAI All India Inter-Zonal Cricket Tournament.pdf","North Eastern Region","","Yes","19/11/24 to 19/11/25","","MGR (CNS) &  Secretary","","19/11/24"
"6","Conduct of All India AAI Inter-Zonal Badminton Tournament (Men & Women) 2024-25 w.e.f 13th – 16th November,2024 at Chennai by ASCB, Chennai Airport- Intimation reg.","Conduct of All India AAI Inter-Zonal Badminton Tournament (Men & Women) 2024-25 w.e.f 13th – 16th November,2024 at Chennai by ASCB, Chennai Airport- Intimation reg.","","Sports Control Board","Public Documents","files/scb/All India Circular for AAI Inter Zonal Badminton Tournament 2024-25.pdf","All","","Yes","03/10/24 to 03/10/25","","Secretary, ASCB, Chennai Airport","","03/10/24"
"7","Conduct of All India AAI Inter Zonal Table Tennis (Men & Women) Tournament 2024-25 at Vadodara, Gujarat.","Conduct of All India AAI Inter Zonal Table Tennis (Men & Women) Tournament 2024-25 at Vadodara, Gujarat.","","Sports Control Board","Public Documents","files/scb/RSCB WR Circular -Conduct of All India AAI Inter Zonal Table Tennis Tournament 2024-25 @ Vadodara.pdf","Western Region","","Yes","13/09/24 to 13/09/25","","Regional Secretary, RSCB, WR","","13/09/24"
"8","All India Trekking Expedition at Kaisdhar organised Sports Promotion Board - CHQ","All India Trekking Expedition at Kaisdhar organised Sports Promotion Board - CHQ","","Sports Control Board","Public Documents","files/scb/Circular  Trekking Kaisdhar-Manali CHQ 24.pdf","","","Yes","10/09/24 to 10/09/25","","Rajesh Dhall, Mgr(SPB)","","10/09/24"
"9","Inter Zonal Chess & Carrom Championship organised by Regional Sports Control Board - Northern Region at Srinagar","Inter Zonal Chess & Carrom Championship organised by Regional Sports Control Board - Northern Region at Srinagar","","Sports Control Board","Public Documents","files/scb/Circular Chess & Carrom.pdf","","","Yes","10/09/24 to 10/09/25","","Rajesh Dhall, Mgr(SPB)","","10/09/24"
"10","Inter Zonal Athletic Meet 2024 organised by Airport Sports Control Board - ​Kolkata Airport at Kolkata","Inter Zonal Athletic Meet 2024 organised by Airport Sports Control Board - ​Kolkata Airport at Kolkata","","Sports Control Board","Public Documents","files/scb/Circular Athletic Meet 2024 at Kolkata.PDF","","","Yes","10/09/24 to 10/09/25","","Rajesh Dhall, Mgr(SPB)","","10/09/24"
"11","All India trekking Expedition 2024-25 to Kaisdhar in Manali, Himachal Pradesh w.e.f. 13.10.2024 to 19.10.2024 (in two groups)","All India trekking Expedition 2024-25 to Kaisdhar in Manali, Himachal Pradesh w.e.f. 13.10.2024 to 19.10.2024 (in two groups)","","Sports Control Board","Public Documents","files/scb/DOC-20240905-WA0017..pdf","All","","Yes","09/09/24 to 09/09/25","","Vice President, SPB","","09/09/24"
